Unnamed: 0,Working_Year,Designation,Experience,Employment_Status,Salary_In_Rupees,Employee_Location,Company_Location,Company_Size,Remote_Working_Ratio,Salary_Currency,salary_in_usd,Salary_In_USD
1.0,2020-01-01,Data Scientist,MI,FT,6352272.0,DE,DE,L,0,,,6352272.0
,2020-01-01,Principal Data Scientist,SE,FT,130000.0,DE,DE,M,100,EUR,148261.0,130000.0
,2020-01-01,Lead Data Engineer,SE,FT,125000.0,NZ,NZ,S,50,USD,125000.0,125000.0
,2020-01-01,Data Scientist,SE,FT,120000.0,US,US,L,50,USD,120000.0,120000.0
,2020-01-01,Data Scientist,MI,FT,118000.0,US,US,M,100,USD,118000.0,118000.0
,2020-01-01,Lead Data Scientist,MI,FT,115000.0,AE,AE,L,0,USD,115000.0,115000.0
,2020-01-01,Data Engineer,MI,FT,110000.0,US,US,L,100,USD,110000.0,110000.0
,2020-01-01,Data Engineer,MI,FT,106000.0,US,US,L,100,USD,106000.0,106000.0
,2020-01-01,Data Scientist,MI,FT,105000.0,US,US,L,100,USD,105000.0,105000.0
,2020-01-01,Data Scientist,EN,FT,105000.0,US,US,S,100,USD,105000.0,105000.0
,2020-01-01,Data Science Consultant,MI,FT,103000.0,US,US,L,100,USD,103000.0,103000.0
,2020-01-01,Azure Data Engineer,EN,FT,100000.0,MU,MU,S,0,USD,100000.0,100000.0
,2020-01-01,Big Data Engineer,SE,FT,100000.0,PL,GB,S,100,EUR,114047.0,100000.0
,2020-01-01,Business Data Analyst,EN,CT,100000.0,US,US,L,100,USD,100000.0,100000.0
,2020-01-01,BI Data Analyst,MI,FT,98000.0,US,US,M,0,USD,98000.0,98000.0
,2020-01-01,Business Data Analyst,MI,FT,95000.0,US,US,M,0,USD,95000.0,95000.0
,2020-01-01,Data Engineer,MI,FT,130800.0,ES,US,M,100,USD,130800.0,130800.0
,2020-01-01,Data Analyst,EN,FT,91000.0,US,US,L,100,USD,91000.0,91000.0
,2020-01-01,Business Data Analyst,MI,FT,135000.0,US,US,L,100,USD,135000.0,135000.0
,2020-01-01,Data Scientist,MI,FT,138350.0,US,US,M,100,USD,138350.0,138350.0
